,data,label
73,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,0
74,Should I Get Botox?,1
75,Jeb Bush Picks Up Endorsement From Lindsey Graham,0
76,"2016 Republican race enters a new, volatile phase",0
77,"‘Hands up, don’t shoot’ was built on a lie",0
78,Lavrov and Kerry discuss Syrian settlement,1
79,BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,1
80,Bernie Sanders' call for ouster of two convention co-chairs rejected,0
81,Five Reasons the New York Democratic Primary Felt Competitive,0
82,"To get around Congress, Obama turns to city halls",0
83,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,1
84,John Kerry: ISIS responsible for genocide,0
85,Mitt Romney's Re-Invention As Anti-Poverty Warrior,0
86,King: Fill the Supreme Court vacancy,0
87,"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",0
88,Obama’s speech in Selma was an answer to those who question his love for America,0
89,Where Does Bernie Sanders Go From Here?,0
90,Exclusive: GOP campaigns plot revolt against RNC,0
91,Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,1
92,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],1
93,"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",0
94,French police hunt two brothers accused of Charlie Hebdo terror attack,0
95,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",1
96,CNN: One voter can make a difference by voting repeatedly,1
97,Give Social Security recipients a CEO-style raise,0
98,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",0
99,"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",0
100,How Ted Cruz Became Ted Cruz,0
101,Newly Approved GM Potatoes Have Potential to Silence Human Genes,1
102,Accord reached after Sanders sues the DNC over suspended access to critical voter list,0
103,Why the latest Patriot Act reform won’t be enough to rein in the NSA,0
104,"FBI expands probe of Clinton emails, launches independent classification review",0
105,Where is Gary Johnson?,0
106,"The Arcturian Group by Marilyn Raffaele October 23, 2016 [VIDEO]",1
107,Nuclear weapons question,1
108,Kevin MacDonald celebrates Trump’s Amazing Victory,1
109,"The amazing AquTru water filter, version 2.0, is now in stock: I've snagged 500 units for Natural News readers at a deep discount",1
110,What happens if Clinton drops out?,0
111,Brothers ID'd as suicide bombers in Belgium,0
112,Glorifying Violence,1
113,Russia may run out of patience and respond to USA's rudeness,1
114,The David Duke Show: Hillary’s Treason and Why Trump & Duke Will Win,1
115,Don't blame all immigrants for San Francisco shooting,0
116,Netanyahu: I Won't Allow Israel to Be 'Submerged' by Refugees,0
117,APOCALYPSE NOW: Trump Voters Warn Of ‘Revolution’ If Clinton Wins,1
118,"Geo-Engineering Unlikely to Work, Conservation Group Says",1
119,3 Questions Ahead Of Tonight's Democratic Debate,0
120,Obama's terror strategy is failing: US must heed lessons of 9/11,0
121,“Bernie needs to be ground to a pulp.” Leaked Email to John Podesta in February,1
122,Selma 50 years on: John Lewis's recalls the march,0
123,“We Were Long Overdue A Presidential Assassination Anyway”,1
124,"Flip-flop: Vox warns of serious risk of Election Day violence, and not the good kind either",1
125,Third-party presidential candidates fight for 15% in polls – and a spot in debates,0
126,"Bush, Rubio and Kasich eye one another in the shadow of Trump",0
127,Comey Must Explain Why He Advised Obama Not to Publicly Accuse Russia of Hacking Democrats,1
128,"Putin Congratulates Trump, Says Russia Is Ready To Restore Relations With The US",1
129,Monsieur Malbrough est Mort | New Eastern Outlook,1
130,Conspiracy theories swirl around the death of Antonin Scalia,0
131,"What is one more election thread, ehhh?",1
132,McCain: Trump doesn't understand Syria,0
133,Trump manager says 'undercover voters' will deliver win in US election,0
134,Re: WikiLeaks: ‘How is what Bill Clinton did different from what Bill Cosby did?’ #PodestaEmails20,1
135,"REPORT: Megyn Trashes Trump, Newt… Then Murdoch Announces Replacements Are Available",1
136,Suspect captured in ‘ambush-style’ killings of two Iowa cops,1
137,Re: 10 Things That Every American Should Know About Donald Trump’s Plan To Save The U.S. Economy,1
138,The next president can have a big impact on climate policy — even without Congress,0
139,Look at the SHOCKING Number of Kids Born To Illegals in 2014,1
140,Mother And Daughter Remind MSNBC Reporter That Trump Has Black Supporters,1
141,Justice Department Staffers Monitor Polls on Election Day,0
142,Elizabeth Warren Just Blasted The FBI Director For Going After Hillary Instead Of Wall Street Crooks,1
143,Poll: 71 percent of Dems think Clinton should keep running even if indicted,0
144,Trumped!,1
145,Is the Iran deal unraveling? Think again. | Institution,0
146,Saturn’s Baffling Hexagon — The Raging Storm Four Times the Size of Earth has Changed Its Colors,1
147,"Cyrus Mistry renames himself Rohit Sharma-Mistry, gets job back",1
148,The FBI intervenes in the 2016 election,1
149,"Re: If Donald Trump Wins, He Will Be 70 Years, 7 Months And 7 Days Old On His First Full Day In Office",1
150,Shutdown clash to return in force by December,0
151,Classless Obama Refuses Photo-Op of White House Welcome with Trump,1
152,Comment on Maryland Trump Supporter: They Switched My Vote to Hillary by misterdawg,1
153,Stuff in the News That No One Is Talking About Because of the Election,1
154,Blizzard of charges and countercharges melts away as opinions of Trump and Clinton are frozen,0
155,Social Media Is Censoring FBI’s Re-Opened Clinton Email Investigation,1
156,Obama Inches Closer to Veto-Proof Support for Iran Nuclear Deal,0
157,How Clinton plans to stop Sanders' momentum,0
158,Martin O’Malley Praises Senate Democrats for Holding Up Trade Deal,0
159,Shi’ite Militias Join Iraq’s Mosul Attack,1
160,‘Super PAC’ Gets Early Start on Pushing for a 2016 Clinton Campaign,0
161,Christianity under attack: US must do more to promote religious freedom,0
162,U.S. Taxpayers Pay AT&T Millions of Dollars a Year For the Privilege of Spying on Them,1
163,VIDEO: Journalist Shot by Militarized Police at Standing Rock While Conducting an Interview,1
164,"Buffett: If I Ran Fed, I Would Not Raise Rates Significantly",0
165,Are Tensions With Russia Even Real?,1
166,Iran agrees to nuclear restrictions in framework deal with world powers,0
167,Comment on This Is What Constipation Does To Your Body by THIS IS WHAT CONSTIPATION DOES TO YOUR BODY | TheHealthology,1
168,Fifteen Quotes Proving False Flag Terrorism & the Existence of a ‘Shadow Government’,1
169,"Bernie Sanders’s vast universe of donors, mapped",0
170,"Former Ambassador Andrew Young calls for end to water fluoridation, “Civil Rights Issue”",1
171,Trump's New Ad Portraying 'Every Mother's Worst Nightmare' is Nothing Short of Chilling,1
172,Undercover Video Exposes Obama’s Plan to Make American “Gun Laws” More Like Britain – TruthFeed,1
173,So That Happened: Did Obama Forget That The GOP Runs Congress?,0
174,"Syrian War Report – November 2, 2016: ISIS and Al-Nusra Attempt to Cut Off Govt Supply Line to Aleppo",1
175,Should Christians Celebrate Halloween?,1
176,Sunday in Charleston: Worship at Emanuel AME,0
177,Only Making Matters Worse in Syria,1
178,"FACT CHECK: Hillary Clinton's Speech To The Democratic Convention, Annotated",0
179,BUSTED: Clinton Foundation Directly Tied To Plot To Steal Election,1
180,Connecticut Becomes First State To Boycott Indiana Over LGBT Discrimination Law,0
181,Scott Walker Confronts Doubts About His Grasp of Foreign Policy,0
182,Iran carries out new ballistic missile test,0
183,Assange: Donald Trump Won’t Be Allowed to Win – Clinton & ISIS Funded by Same Interests,1
184,Why Joe Biden can't get no respect,0
185,"Come on, Paul Ryan must be running in 2016, right? Right?",0
186,Why Bernie Sanders needs to start winning big states — big,0
187,Leaked: What’s in Obama’s trade deal,0
188,"Michael Moore admits no women ever melted the ice caps, bombs American history",1
189,Someone Isn't Telling The Truth About Freddie Gray's Death,0
190,Prison employee pleaded not guilty to aiding escape of two murderers,0
191,Culchie Tries To Explain Rules Of 25 One More Time,1
192,Election Day: No Legal Pot In Ohio; Democrats Lose In The South,0
193,President Trump: A colossal failure for democracy and our terrifying new reality,0
194,Who had to go :-),1
195,Raqqa/Mosul: Politicians Fiddle As Middle East Burns,1
196,Chris Christie losing home-state donors as Jeb Bush makes inroads,0
197,Washington Home Depot store receives order for five-thousand gallons of gold exterior paint,1
198,Western Lynch Mob on Russia Ties Itself up in Absurd Anots      : Information,1
199,Can Sanders rally supporters around Clinton after DNC email leak?,0
200,'Historic' climate deal in sight as nations parse final text,0
201,We Live In A Time Where Each Individual Has Immense Power,1
202,"Trump slams 'corrupt' media, as more women make sexual assault claims",0
203,Only Demented Imbeciles Want A Killary Reign Of Terror,1
204,This anti-Trump advert on the side of a bus is really visually clever and you have to see it in motion,1
205,Americans Are So Disconnected From Reality That “Insouciant” Has Become An Euphemism,1
206,The 5 unspoken rules for covering Hillary Clinton,0
207,"Hillary Melts Down Over Weiner In Public, PICS Prove Campaign Is Imploding",1
208,Clinton Vs. Trump: Latest Electoral Prediction [Greg Laden's Blog] | Science and Technology,1
209,Jubilee Year of Mercy ends on November 20. Following Judgment?,1
210,Iraq launches operation against ISIS in Anbar province,0
211,UKIP MEPs Steven Woolfe & Mike Hookem reported to French police over Strasbourg scuffle,1
212,Justices Kennedy and Scalia and their divide on gay rights,0
213,Justice Clarence Thomas Describes Washington DC As “Broken”,1
214,"The Week In Pictures – Week Of October 31, 2016 - The Onion - America's Finest News Source",1
215,Jeb Bush's Foreign Policy Plan: More Military Spending Will 'Encourage Peace',0
216,"John Kasich: He’s Conservative, but at Least He’s Sane",0
217,2006 Audio Emerges of Hillary Clinton Proposing Rigging Palestine Election,0
218,Authorities search for clues after raid thwarts potential 'Belgian Charlie Hebdo' attack,0
219,8 classic football banners of our time,1
220,Tweetwave,1
221,Trump’s Gettysburg Address against the New World Order,1
222,Debate Goals for the Democratic Candidates,0
223,'Spinning up as we speak': Email shows Pentagon was ready to roll as Benghazi attack occurred,0
224,A Case Study On Why The Obamacare Lawsuit Is Based On Mythical History,0
225,Trump Proudly Declares: Most Of The People I’ve Insulted Deserved It,1
226,Dems sue GOP over Trump's 'rigged' complaints,1
227,US Airstrikes on Iraqi Army Slowing Advance on Mosul,1
228,Iran letter blowback startles GOP,0
229,"Clinton Camp Desperate, Russia Trains for WWIII",1
230,Donald Trump's GOP civil war,0
231,Comment on Tainted Measles Vaccine Kills More Than 50 Children In Syria by Tragic Deaths Used To Promote Vaccine Fear – On The Fence About Vaccines,1
232,Laura Bush hints she'd rather see Hillary as president,0
233,"Scott Walker, Rick Perry show limits of super PACs",0
234,If Catcalls Were Politically Correct…,1
235,Why Hillary Won't Unleash WWIII    : Information,1
236,Is It Time To Reconsider Lifetime Appointments To The Supreme Court?,0
237,"Clinton has delegates to win Dem nomination, AP reports; Sanders questions tally",0
238,Hillary IMPLODES: Trump 'Took Everything...Paid Nothing To Support Us!',1
239,"Trump says Obama born in US, ‘period’ – after new ‘birther’ dust-up",0
240,"MH370: If debris is part of missing plane, what's next?",0
241,GOOGLE PLANNED MASSIVE AI INTEGRATED SOCIAL NETWORK SPY TOOL FOR HILLARY CAMPAIGN IN 2014,1
242,Israel stole classified US information and used it to help congressional Republicans,0
243,"""America has a simple ideology"": how one of Russia's top US experts explains America",0
244,Poll shows Trump made up 13 points in under 2 weeks — now he likes polls again,0
245,"Chaos on House floor as Dems, Republicans clash over LGBT proposal",0
246,"New Study Links Fluoride Consumption To Hypothyroidism, Weight Gain, And Worse",1
247,"Clinton, Sanders accuse Trump of inciting violence",0
248,Memo to the Next Administration: Defense Spending Must Be For Actual Defense,1
249,"In New Responses, Hillary Clinton Insists Email Setup A Matter Of 'Convenience'",0
250,Trump mulls alternative options for making Mexico finance 'the wall',0
251,The circus of liars - America's three rings of evil clowns,1
252,"Donald Trump said ‘university’ was all about education. Actually, its goal was: ‘Sell, sell, sell!’",0
253,Trump Has Forever Changed American Politics,1
254,Kerry Adviser Marie Harf in Twitter Fight Over Iran Nukes,0
255,"The role of the US and Nato in EU relations with China, by Manlio Dinucci",1
267,"100,000 people have come to recent Bernie Sanders rallies. How does he do it?",0
268,Trump The President: What Does That Mean For The World? - CounterCurrents.org,1
269,"'You've been fleeced': Congress grills Kerry, Obama officials on Iran nuke deal",0
270,"What 20,000 pages of hacked WikiLeaks emails teach us about Hillary Clinton",0
271,Comment on Breaking: CDC Blocks Testimony of Their Senior Scientist Who Blew The Whistle on Severe Medical Malpractice by CDC Accused of Blocking Testimony from Senior Scientist — New York Malpractice & Injury Lawyer Blog,1
272,FOX News Just Admitted It Made Up Story About Hillary Being “Indicted” For Foundation,1
273,Repudiating the Media,1
274,Buchanan Smashes CNN Shill,1
275,The Impossible Is Happening: Cubs Win World Series and Yes… Hillary Clinton is Now Likely to be Indicted,1
276,America After Election 2016: the Gullible and the Shattered - David Kerans,1
277,Anderson Cooper Absolutely OWNS Kellyanne Conway After FBI Clears Hillary…Again (VIDEO),1
278,‘Schlonged!’ NYT: FBI reopened Hillary probe thanks to … ANTHONY WEINER?,1
279,What do Americans really think of election coverage?,0
280,Exclusive: Siege of Islamabad,1
281,The Fix Is In: NBC Affiliate Accidentally Posts Election Results A Week Early: Hillary Wins Presidency 42% to Trump’s 40%,1
282,Lynch schools the wingnuts: How the right tried — and failed — to wound Obama’s AG nominee,0
283,"Yes, Ted Cruz could win",0
284,"‘Can’t build a wall, hands too small!’ – NYC anti-Trump protest (Streamed live)",1
285,Trump advisors try to pivot not fishtail,0
286,"Christians drop, 'nones' soar in new religion portrait",0
287,Comment on Brother of Clinton’s Campaign Chair is an Active Foreign Agent on the Saudi Arabian Payroll by marlene,1
288,Inside the Deliberations of a Hillary Clinton Campaign Launch,0
289,American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,1
290,Clinton condemns Trump over Chicago violence,0
291,"In France, a growing debate over why some speech is protected and some isn’t",0
306,North Carolina Hillary Supporter Brags on Facebook About Voting Multiple Times,1
307,Russia reacts to UN aid chief's Aleppo 'kill zone' remarks,1
308,Representative Government or Thugocracy?,1
309,Gay rights and religious liberty: Can Americans have both?,0
310,"As Rand Paul stalls, Ted Cruz seeks to pick up support among libertarians",0
311,“A dream come true for Hillary Clinton”: Wall Street Journal editorial board rips Ted Cruz,0
312,Obama Presses Putin to Strike Ukraine Peace Deal,0
313,"Trumka: Disappointment with Obama, a warning for Hillary",0
314,Pro-Palestinian Propaganda Lowering Standards of Truth in America,1
315,Wingnuts have a death-grip on Congress: Why Paul Ryan can’t control the House GOP,0
316,Lifting weights could ward off dementia and make you smarter,1
317,People excited about Christmas adverts told about rest of human culture,1
318,State Department warns of possible terror attack in South Africa,0
319,Who Lost Iraq?,0
320,Pope Francis implores Congress to accept immigrants as their own,0
321,"Poll: Trump gains in Iowa, still dominates in New Hampshire",0
322,Rand Paul Goes on Senate Floor to Protest NSA Spying Measure,0
323,China Airport Security Robot Gives Electroshocks,1
324,Obama Details His Disappointment With Netanyahu In First Post-Election Comments,0
325,"Re: WikiLeaks: Neera Tanden has ANOTHER ringing endorsement for Hillary! (No, not really)",1
326,Reality Check: First Clinton v Trump presidential debate,0
327,Doomsday Election,1
328,John Kasich’s Advice for Women to Prevent Sexual Assault: Avoid Parties “Where There’s a Lot of Alcohol”,0
329,The system set Boehner up for failure,0
330,Gay marriage victory at Supreme Court triggering backlash,0
331,Who rode it best? Jesse Jackson mounts up to fight pipeline; Leonardo DiCaprio to the rescue?,1
332,McCarthy drops out of speaker race as House asks: Who wants this job? (+video),0
333,"Democrats, Republicans in tight races as Iowans prepare to caucus",0
334,Iran: Why the best outcome now is to keep negotiating without reaching a deal,0
335,NAZI Flying Saucers & A Permanent Base in Antarctica,1
336,BREAKING: Man Brags on Facebook of Voting 3 Times… Then Reveals How He Did It,1
337,Furious parents slam ‘damaging’ BBC sex change show aimed at six-year-olds,1
338,Trump Family Say Trump Brand Has NOT Been Damaged,1
339,Rand Paul is flatlining,0
340,Nurse Chris Christie Quarantined For Ebola Goes After Governor On Vaccines,0
341,Can Paul Ryan and Donald Trump coexist within the Republican Party?,0
342,"Cruz copying me on border wall, Trump says",0
343,John Oliver: America’s Increasingly Segregated Schools Are ‘Very Rarely Equal in Any Way’ (Video),1
344,The Rise of Mandatory Vaccinations Means the End of Medical Freedom,1
345,Scientists Fascinated By Lake Under The Sea: Those Who Enter Never Come Out [Watch],1
346,Jeb Bush loses TV ad edge to Marco Rubio,0
347,"Russia, India Discuss FGFA Advanced Fighter, Su-30MKI Upgrade",1
348,"Our real police/race problem: Diverse forces, white resentment, and America’s persistent divides",0
349,The Supreme Court cannot hide on Obamacare,0
350,BREAKING : TED CRUZ CALLS FOR SPECIAL PROSECUTOR TO INVESTIGATE HILLARY – TruthFeed,1
351,"Poll: Hillary Clinton, Bernie Sanders both top Trump",0
352,Donald Trump revokes Washington Post press access (+video),0
353,The Real Reason Obamacare is Coming Unglued,1
354,How Jeb Bush can avoid being the Jon Huntsman of 2016,0
355,Revived Clinton Email Scandal Killed By A Slew Of New Facts In Record Time,1
356,Iraq’s Skies Darken as Islamic State Torches Oil,1
357,New Yorkers fight to overturn ballot selfie ban,1
358,Poll finds Ben Carson knocks Donald Trump from top spot nationally,0
359,“I’m glad that he won”: The surprising Palestinian reaction to Netanyahu’s win,0
360,George W. Bush’s Ethics Lawyer Files Complaint Against FBI Director James Comey,1
361,Netflix Ceo: TV’s Future includes Hallucination Pills,1
362,Ernst to Trump: Stop with the name-calling,0
363,Comment on Elections 2012-16 by BeamMeUpScotty,1
364,After Debate Duke Says USA becoming Banana Republic,1
365,"NOW FIVE FBI FIELD OFFICES ARE PROBING CLINTON CHARITY, ADDING FUEL TO THE FIRE",1
366,White House: GOP Has Failed to Put ‘Points on the Board’,0
371,"Do Democrats Want What Bernie Wants, Or Just What Bernie Has?",0
372,Podesta wiki leaks...We prefer Muslims over Christians....,1
373,Critics Pounce on Madeleine Albright’s Exhortation to Women to Back Clinton,0
374,Clinton doubles down on disputed claim FBI found her email remarks 'truthful',0
375,How the Clintons’ Haiti development plans succeed — and disappoint,0
376,Of Course Facebook Is Biased. Its Real Problem Is That It Won’t Admit It.,0
377,Tax Calculator: The federal debt,0
378,Trump and advisers remain split on how far to move toward the middle,0
379,Clinton in the final stretch: winning over anti-Trump contingent may be best play,0
380,Australian taxpayers charged over $88 million for donation to corrupt Clinton Foundation,1
381,Vatican Ends Scrutiny Of U.S. Nuns,0
384,The Disappearing Middle: Electorate Way Less Moderate Than Past Primaries,0
385,"Hannity: WikiLeaks Has Proven That ""Everything The Conspiracy Theorists Said"" Was True",0
386,Russia successfully tests its first-ever hypersonic weapon,1
387,The Hulk Actor Mark Ruffalo Has Joined Standing Rock to Protest DAPL,1
388,AP FACT CHECK: The Republican debaters and the facts,0
389,Why the drop in income inequality?,0
390,Walmart Goes Against The Grain Of Obama’s America With New Thanksgiving Ad,1
391,Senate Makes History By Confirming Loretta Lynch As U.S. Attorney General,0
392,Manhunt for escaped killers expands to Vermont,0
393,The Path To Total Dictatorship: America’s “Shadow Government” And Its Silent Coup,1
394,To the Youth a Day After the Election: Another World Is Possible,1
395,Physical Gold Demand and Fear,1
396,Protester charged with shooting officers in Ferguson,0
397,Comment on U.S. war with Iran has already begun by جنگ ارزی آمریکا علیه ایران / مورد مطالعاتی سال 1390 - کدآمایی,1
398,It’s not the ‘locker-room’ talk. It’s the ‘lock her up’ talk.,0
399,"GOP braces for Trump loss, roiled by refusal to accept election results",0
400,If You Have One Of These Old VHS Tapes It May Be Worth Over $1000,1
401,Obama: Trump is ‘unfit to serve as president’,0
402,Pope Francis met Kim Davis: why it matters in fight over religious freedom (+video),0
403,Study: Phytochemical Found In Broccoli And Cauliflower Attacks Prostate Cancer Cells,1
404,David Duke wins Louisiana Senate Debate in Landslide despite BLM Riots,1
405,Paris Tragedy Could Shake Up 2016 Race,0
406,Hillary Clinton Is Now Radioactive – SoT #122,1
407,2016's first GOP debate: Six things to look for in Charleston,0
408,Black Hawk crashes off Florida; human remains found,0
409,VIDEO: Creepy Clown Gets Pistol-Whipped!,1
410,THE VISION THING 16    : Information,1
411,"Drudge, Koch, Soros, Bezos: These 4 non-politicians will determine the next president",0
412,The Other Way of Knowing,1
413,Obama and Putin outline competing visions on Syria,0
414,Comment on Police Officer’s Wife Caught Faking a Robbery In a Scheme To Frame Black Lives Matter by The Cat's Vagina (Nasty Woman),1
415,Is the GOP losing Walmart?,0
416,Supreme Court Decides to Weigh in On Transgender Rights,1
417,If Hillary Clinton Is Charged With Obstruction Of Justice She Could Go To Prison For 20 Years,1
418,"'Top secret' emails on Clinton server discussed drone program, may reference classified info",0
419,Miracles Man: Metaxas Vs. Closed Minds And A Closed Universe,0
420,Obamacare Premiums Spike an Average of 25%!,1
421,Collective Consciousness – The Individual is Gone,1
422,Obama on gun control: His emotional evolution,0
423,What Scientists Found Inside This 800-Year-Old Pot... Is Changing History!,1
424,The Clock Is Ticking And Republicans Still Have No Serious Obamacare Alternative,0
425,Trump treads on tradition in New Hampshire,0
426,GOP presidential candidates hammer on 'top secret' Clinton emails in final days before Iowa Caucus,0
427,"Cleveland, Justice Department Reach Policing Deal",0
428,Physicists Say Consciousness Should Be Considered A State of Matter: The “Non Physical” Is Real,1
429,"A GOP Weekend, Courtesy Of The Koch Network And Citizens United",0
430,"Juan Williams: My bets on Trump, Clinton vice presidential picks",0
431,How Trump And Clinton Are Framing Their Closing Arguments,0
432,Scott Walker and questioning Obama’s faith,0
433,What Is Hillary’s Greatest Accomplishment?,0
434,"Iranians Spend $2.1b on Beauty Products Annually, 3 Times more than Their European Counterparts",1
435,"Sanders, Trump easily win West Virginia primary; Trump picks up Nebraska too",0
436,"Clinton, Sanders to Face Off in 1st Democrat Debate",0
437,#InNorthDakota ~~ PALESTINIANS STAND WITH THE SIOUX,1
438,"Human remains suggest explosion brought down EgyptAir plane, forensics official says",0
439,US officials scanning terror databases in search for Paris attack suspects,0
440,"ISIS Declares It Will kill Palestinians “One By One”’, Yet Remains Quiet On Israel",1
441,"Hillary, The Political Scientist",1
442,"BOOM! This Is How President Reagan Handled Protesters: ""Negotiate? What is there to negotiate?"" [Video] » 100percentfedUp.com",1
443,Clinton Picks Up The First Major Labor Endorsement Of 2016,0
444,Links 11/12/16,1
445,Obama: Syria war unlikely to end during his presidency,0
446,'Blue and Brave': Illinois town rallies around police as search for officer's killer goes on,0
447,Senate Advances Bill To Approve Keystone Pipeline Despite Obama's Veto Threat,0
448,Comment on Indoor Gardening Made Easy: The Nutritower! by Indoor Gardening Made Easy: The Nutritower! – Collective EvolutionGardening Business News UK | Gardening Business News UK,1
449,US abstains from UN vote calling for end to Cuban embargo,1
450,Young Turks Finds Out Why Trump Is About To Lose Utah For Republicans For First Time In Decades (VIDEO),1
451,Comment on Mayor de Blasio claims hot dog carts are causing global warming by Dr. Eowyn,1
452,Momentum to bar Syrian refugees slows,0
453,New evidence that the legal immigration system discriminates against Latin Americans,0
454,"America Might Not Deserve Trump, But Dems and Hillary Deserved To Lose",1
455,Media turn blind eye to Hillary Clinton’s glaring mistakes,0
456,State Department admits to deliberately cutting briefing footage on Iran deal,0
457,"U.S. Economy Added 271,000 Jobs In October, Beating Expectations",0
458,"Hillary Clinton narrowly wins Kentucky, a state Bernie Sanders needed by huge margins",0
459,"No, it's not 'World War 3'",0
460,49 killed in shooting at Florida nightclub in possible act of Islamic terror,0
461,Just Another Day In the Life of the Clinton Crime Family,1
